,Continent,Location,Date,Population,New Deaths,New Vaccinations
0,Asia,Afghanistan,2021-05-27,41128772.0,14.0,2859.0
1,Asia,Afghanistan,2021-06-03,41128772.0,27.0,4015.0
2,Asia,Afghanistan,2022-01-27,41128772.0,2.0,6868.0
3,Asia,Afghanistan,2022-04-27,41128772.0,0.0,383.0
4,Asia,Afghanistan,2022-09-12,41128772.0,2.0,9447.0
5,Asia,Afghanistan,2022-11-02,41128772.0,0.0,36587.0
6,Asia,Afghanistan,2022-11-16,41128772.0,1.0,14800.0
7,Europe,Albania,2021-01-13,2842318.0,4.0,60.0
8,Europe,Albania,2021-01-14,2842318.0,5.0,78.0
9,Europe,Albania,2021-01-15,2842318.0,4.0,42.0
10,Europe,Albania,2021-01-16,2842318.0,5.0,61.0
11,Europe,Albania,2021-01-17,2842318.0,7.0,36.0
12,Europe,Albania,2021-01-18,2842318.0,4.0,42.0
13,Europe,Albania,2021-01-19,2842318.0,6.0,36.0
14,Europe,Albania,2021-01-20,2842318.0,4.0,36.0
15,Europe,Albania,2021-01-21,2842318.0,5.0,30.0
16,Europe,Albania,2021-02-18,2842318.0,17.0,1348.0
17,Europe,Albania,2021-02-19,2842318.0,19.0,1128.0
18,Europe,Albania,2021-03-23,2842318.0,11.0,3461.0
19,Europe,Albania,2021-03-24,2842318.0,15.0,2302.0
20,Europe,Albania,2021-03-25,2842318.0,13.0,5356.0
21,Europe,Albania,2021-03-26,2842318.0,8.0,2900.0
22,Europe,Albania,2021-03-27,2842318.0,12.0,1827.0
23,Europe,Albania,2021-03-28,2842318.0,6.0,13925.0
24,Europe,Albania,2021-03-31,2842318.0,8.0,19525.0
25,Europe,Albania,2021-04-01,2842318.0,6.0,16617.0
26,Europe,Albania,2021-04-02,2842318.0,6.0,17023.0
27,Europe,Albania,2021-04-03,2842318.0,9.0,13010.0
28,Europe,Albania,2021-04-04,2842318.0,9.0,7386.0
29,Europe,Albania,2021-04-05,2842318.0,9.0,13826.0
30,Europe,Albania,2021-04-06,2842318.0,9.0,14880.0
31,Europe,Albania,2021-04-07,2842318.0,8.0,10791.0
32,Europe,Albania,2021-04-08,2842318.0,6.0,10163.0
33,Europe,Albania,2021-04-09,2842318.0,7.0,8134.0
34,Europe,Albania,2021-04-10,2842318.0,6.0,6134.0
35,Europe,Albania,2021-04-13,2842318.0,5.0,13685.0
36,Europe,Albania,2021-04-16,2842318.0,2.0,10134.0
37,Europe,Albania,2021-04-17,2842318.0,3.0,10218.0
38,Europe,Albania,2021-04-18,2842318.0,2.0,8065.0
39,Europe,Albania,2021-04-19,2842318.0,5.0,13029.0
40,Europe,Albania,2021-04-20,2842318.0,6.0,4066.0
41,Europe,Albania,2021-04-21,2842318.0,5.0,22075.0
42,Europe,Albania,2021-04-22,2842318.0,6.0,10923.0
43,Europe,Albania,2021-04-23,2842318.0,3.0,8353.0
44,Europe,Albania,2021-04-24,2842318.0,5.0,8713.0
45,Europe,Albania,2021-04-27,2842318.0,4.0,8236.0
46,Europe,Albania,2021-04-28,2842318.0,3.0,16773.0
47,Europe,Albania,2021-04-29,2842318.0,3.0,19620.0
48,Europe,Albania,2021-04-30,2842318.0,5.0,23655.0
49,Europe,Albania,2021-05-01,2842318.0,2.0,17125.0
50,Europe,Albania,2021-05-04,2842318.0,3.0,19886.0
51,Europe,Albania,2021-05-05,2842318.0,1.0,19197.0
52,Europe,Albania,2021-05-06,2842318.0,3.0,15642.0
53,Europe,Albania,2021-05-07,2842318.0,2.0,13467.0
54,Europe,Albania,2021-05-08,2842318.0,3.0,11073.0
55,Europe,Albania,2021-05-09,2842318.0,1.0,3234.0
56,Europe,Albania,2021-05-10,2842318.0,4.0,12959.0
57,Europe,Albania,2021-05-11,2842318.0,4.0,9548.0
58,Europe,Albania,2021-05-12,2842318.0,3.0,10169.0
59,Europe,Albania,2021-05-13,2842318.0,3.0,5662.0
60,Europe,Albania,2021-05-14,2842318.0,1.0,14992.0
61,Europe,Albania,2021-05-18,2842318.0,1.0,8864.0
62,Europe,Albania,2021-05-19,2842318.0,2.0,8864.0
63,Europe,Albania,2021-05-20,2842318.0,2.0,5932.0
64,Europe,Albania,2021-05-21,2842318.0,1.0,5103.0
65,Europe,Albania,2021-05-24,2842318.0,1.0,8519.0
66,Europe,Albania,2021-05-27,2842318.0,0.0,10057.0
67,Europe,Albania,2021-05-31,2842318.0,1.0,4257.0
68,Europe,Albania,2021-06-01,2842318.0,0.0,3881.0
69,Europe,Albania,2021-06-07,2842318.0,1.0,5058.0
70,Europe,Albania,2021-06-08,2842318.0,0.0,6310.0
71,Europe,Albania,2021-06-09,2842318.0,0.0,6564.0
72,Europe,Albania,2021-06-10,2842318.0,0.0,6497.0
73,Europe,Albania,2021-06-11,2842318.0,1.0,7228.0
74,Europe,Albania,2021-06-12,2842318.0,0.0,4587.0
75,Europe,Albania,2021-06-13,2842318.0,0.0,1562.0
76,Europe,Albania,2021-06-14,2842318.0,0.0,6105.0
77,Europe,Albania,2021-06-15,2842318.0,1.0,5895.0
78,Europe,Albania,2021-06-16,2842318.0,0.0,5797.0
79,Europe,Albania,2021-06-17,2842318.0,0.0,8401.0
80,Europe,Albania,2021-06-21,2842318.0,0.0,9140.0
81,Europe,Albania,2021-06-22,2842318.0,1.0,11377.0
82,Europe,Albania,2021-06-23,2842318.0,0.0,11445.0
83,Europe,Albania,2021-06-24,2842318.0,0.0,10012.0
84,Europe,Albania,2021-06-29,2842318.0,0.0,12059.0
85,Europe,Albania,2021-06-30,2842318.0,0.0,12536.0
86,Europe,Albania,2021-07-01,2842318.0,0.0,6452.0
87,Europe,Albania,2021-07-02,2842318.0,0.0,7013.0
88,Europe,Albania,2021-07-05,2842318.0,0.0,5531.0
89,Europe,Albania,2021-07-06,2842318.0,0.0,5982.0
90,Europe,Albania,2021-07-07,2842318.0,0.0,5600.0
91,Europe,Albania,2021-07-08,2842318.0,0.0,5634.0
92,Europe,Albania,2021-07-09,2842318.0,0.0,5257.0
93,Europe,Albania,2021-07-10,2842318.0,0.0,4854.0
94,Europe,Albania,2021-07-11,2842318.0,0.0,1394.0
95,Europe,Albania,2021-07-12,2842318.0,0.0,6432.0
96,Europe,Albania,2021-07-13,2842318.0,0.0,6433.0
97,Europe,Albania,2021-07-14,2842318.0,0.0,7832.0
98,Europe,Albania,2021-07-15,2842318.0,0.0,8609.0
99,Europe,Albania,2021-07-16,2842318.0,0.0,7934.0
100,Europe,Albania,2021-07-17,2842318.0,0.0,7093.0
101,Europe,Albania,2021-07-18,2842318.0,0.0,2230.0
102,Europe,Albania,2021-07-21,2842318.0,0.0,13029.0
103,Europe,Albania,2021-07-22,2842318.0,0.0,14332.0
104,Europe,Albania,2021-07-30,2842318.0,0.0,11078.0
105,Europe,Albania,2021-07-31,2842318.0,0.0,8086.0
106,Europe,Albania,2021-08-01,2842318.0,0.0,4154.0
107,Europe,Albania,2021-08-02,2842318.0,0.0,9674.0
108,Europe,Albania,2021-08-03,2842318.0,0.0,8879.0
109,Europe,Albania,2021-08-04,2842318.0,0.0,7765.0
110,Europe,Albania,2021-08-05,2842318.0,0.0,8631.0
111,Europe,Albania,2021-08-16,2842318.0,2.0,9556.0
112,Europe,Albania,2021-08-17,2842318.0,2.0,9585.0
113,Europe,Albania,2021-08-22,2842318.0,1.0,3414.0
114,Europe,Albania,2021-08-23,2842318.0,0.0,9950.0
115,Europe,Albania,2021-08-24,2842318.0,2.0,9677.0
116,Europe,Albania,2021-08-25,2842318.0,3.0,9263.0
117,Europe,Albania,2021-08-26,2842318.0,3.0,10254.0
118,Europe,Albania,2021-08-27,2842318.0,1.0,12070.0
119,Europe,Albania,2021-08-30,2842318.0,3.0,13284.0
120,Europe,Albania,2021-08-31,2842318.0,3.0,14268.0
121,Europe,Albania,2021-09-01,2842318.0,3.0,12934.0
122,Europe,Albania,2021-09-02,2842318.0,4.0,14648.0
123,Europe,Albania,2021-09-07,2842318.0,4.0,14394.0
124,Europe,Albania,2021-09-08,2842318.0,5.0,13687.0
125,Europe,Albania,2021-09-09,2842318.0,3.0,12089.0
126,Europe,Albania,2021-09-10,2842318.0,4.0,10173.0
127,Europe,Albania,2021-09-11,2842318.0,4.0,8621.0
128,Europe,Albania,2021-09-12,2842318.0,4.0,3356.0
129,Europe,Albania,2021-09-13,2842318.0,5.0,8605.0
130,Europe,Albania,2021-09-14,2842318.0,5.0,7954.0
131,Europe,Albania,2021-09-15,2842318.0,4.0,7525.0
