,Continent,Location,Date,Population,New Vaccinations,Rolling Vaccinations
0,Asia,Afghanistan,2021-05-27,41128772.0,2859.0,2859
1,Asia,Afghanistan,2021-06-03,41128772.0,4015.0,6874
2,Asia,Afghanistan,2022-01-27,41128772.0,6868.0,13742
3,Asia,Afghanistan,2022-04-27,41128772.0,383.0,14125
4,Asia,Afghanistan,2022-09-12,41128772.0,9447.0,23572
5,Asia,Afghanistan,2022-11-02,41128772.0,36587.0,60159
6,Asia,Afghanistan,2022-11-16,41128772.0,14800.0,74959
7,Europe,Albania,2021-01-13,2842318.0,60.0,60
8,Europe,Albania,2021-01-14,2842318.0,78.0,138
9,Europe,Albania,2021-01-15,2842318.0,42.0,180
10,Europe,Albania,2021-01-16,2842318.0,61.0,241
11,Europe,Albania,2021-01-17,2842318.0,36.0,277
12,Europe,Albania,2021-01-18,2842318.0,42.0,319
13,Europe,Albania,2021-01-19,2842318.0,36.0,355
14,Europe,Albania,2021-01-20,2842318.0,36.0,391
15,Europe,Albania,2021-01-21,2842318.0,30.0,421
16,Europe,Albania,2021-02-18,2842318.0,1348.0,1769
17,Europe,Albania,2021-02-19,2842318.0,1128.0,2897
18,Europe,Albania,2021-03-23,2842318.0,3461.0,6358
19,Europe,Albania,2021-03-24,2842318.0,2302.0,8660
20,Europe,Albania,2021-03-25,2842318.0,5356.0,14016
21,Europe,Albania,2021-03-26,2842318.0,2900.0,16916
22,Europe,Albania,2021-03-27,2842318.0,1827.0,18743
23,Europe,Albania,2021-03-28,2842318.0,13925.0,32668
24,Europe,Albania,2021-03-31,2842318.0,19525.0,52193
25,Europe,Albania,2021-04-01,2842318.0,16617.0,68810
26,Europe,Albania,2021-04-02,2842318.0,17023.0,85833
27,Europe,Albania,2021-04-03,2842318.0,13010.0,98843
28,Europe,Albania,2021-04-04,2842318.0,7386.0,106229
29,Europe,Albania,2021-04-05,2842318.0,13826.0,120055
30,Europe,Albania,2021-04-06,2842318.0,14880.0,134935
31,Europe,Albania,2021-04-07,2842318.0,10791.0,145726
32,Europe,Albania,2021-04-08,2842318.0,10163.0,155889
33,Europe,Albania,2021-04-09,2842318.0,8134.0,164023
34,Europe,Albania,2021-04-10,2842318.0,6134.0,170157
35,Europe,Albania,2021-04-13,2842318.0,13685.0,183842
36,Europe,Albania,2021-04-16,2842318.0,10134.0,193976
37,Europe,Albania,2021-04-17,2842318.0,10218.0,204194
38,Europe,Albania,2021-04-18,2842318.0,8065.0,212259
39,Europe,Albania,2021-04-19,2842318.0,13029.0,225288
40,Europe,Albania,2021-04-20,2842318.0,4066.0,229354
41,Europe,Albania,2021-04-21,2842318.0,22075.0,251429
42,Europe,Albania,2021-04-22,2842318.0,10923.0,262352
43,Europe,Albania,2021-04-23,2842318.0,8353.0,270705
44,Europe,Albania,2021-04-24,2842318.0,8713.0,279418
45,Europe,Albania,2021-04-27,2842318.0,8236.0,287654
46,Europe,Albania,2021-04-28,2842318.0,16773.0,304427
47,Europe,Albania,2021-04-29,2842318.0,19620.0,324047
48,Europe,Albania,2021-04-30,2842318.0,23655.0,347702
49,Europe,Albania,2021-05-01,2842318.0,17125.0,364827
50,Europe,Albania,2021-05-04,2842318.0,19886.0,384713
51,Europe,Albania,2021-05-05,2842318.0,19197.0,403910
52,Europe,Albania,2021-05-06,2842318.0,15642.0,419552
53,Europe,Albania,2021-05-07,2842318.0,13467.0,433019
54,Europe,Albania,2021-05-08,2842318.0,11073.0,444092
55,Europe,Albania,2021-05-09,2842318.0,3234.0,447326
56,Europe,Albania,2021-05-10,2842318.0,12959.0,460285
57,Europe,Albania,2021-05-11,2842318.0,9548.0,469833
58,Europe,Albania,2021-05-12,2842318.0,10169.0,480002
59,Europe,Albania,2021-05-13,2842318.0,5662.0,485664
60,Europe,Albania,2021-05-14,2842318.0,14992.0,500656
61,Europe,Albania,2021-05-18,2842318.0,8864.0,509520
62,Europe,Albania,2021-05-19,2842318.0,8864.0,518384
63,Europe,Albania,2021-05-20,2842318.0,5932.0,524316
64,Europe,Albania,2021-05-21,2842318.0,5103.0,529419
65,Europe,Albania,2021-05-24,2842318.0,8519.0,537938
66,Europe,Albania,2021-05-27,2842318.0,10057.0,547995
67,Europe,Albania,2021-05-31,2842318.0,4257.0,552252
68,Europe,Albania,2021-06-01,2842318.0,3881.0,556133
69,Europe,Albania,2021-06-07,2842318.0,5058.0,561191
70,Europe,Albania,2021-06-08,2842318.0,6310.0,567501
71,Europe,Albania,2021-06-09,2842318.0,6564.0,574065
72,Europe,Albania,2021-06-10,2842318.0,6497.0,580562
73,Europe,Albania,2021-06-11,2842318.0,7228.0,587790
74,Europe,Albania,2021-06-12,2842318.0,4587.0,592377
75,Europe,Albania,2021-06-13,2842318.0,1562.0,593939
76,Europe,Albania,2021-06-14,2842318.0,6105.0,600044
77,Europe,Albania,2021-06-15,2842318.0,5895.0,605939
78,Europe,Albania,2021-06-16,2842318.0,5797.0,611736
79,Europe,Albania,2021-06-17,2842318.0,8401.0,620137
80,Europe,Albania,2021-06-21,2842318.0,9140.0,629277
81,Europe,Albania,2021-06-22,2842318.0,11377.0,640654
82,Europe,Albania,2021-06-23,2842318.0,11445.0,652099
83,Europe,Albania,2021-06-24,2842318.0,10012.0,662111
84,Europe,Albania,2021-06-29,2842318.0,12059.0,674170
85,Europe,Albania,2021-06-30,2842318.0,12536.0,686706
86,Europe,Albania,2021-07-01,2842318.0,6452.0,693158
87,Europe,Albania,2021-07-02,2842318.0,7013.0,700171
88,Europe,Albania,2021-07-05,2842318.0,5531.0,705702
89,Europe,Albania,2021-07-06,2842318.0,5982.0,711684
90,Europe,Albania,2021-07-07,2842318.0,5600.0,717284
91,Europe,Albania,2021-07-08,2842318.0,5634.0,722918
92,Europe,Albania,2021-07-09,2842318.0,5257.0,728175
93,Europe,Albania,2021-07-10,2842318.0,4854.0,733029
94,Europe,Albania,2021-07-11,2842318.0,1394.0,734423
95,Europe,Albania,2021-07-12,2842318.0,6432.0,740855
96,Europe,Albania,2021-07-13,2842318.0,6433.0,747288
97,Europe,Albania,2021-07-14,2842318.0,7832.0,755120
98,Europe,Albania,2021-07-15,2842318.0,8609.0,763729
99,Europe,Albania,2021-07-16,2842318.0,7934.0,771663
100,Europe,Albania,2021-07-17,2842318.0,7093.0,778756
101,Europe,Albania,2021-07-18,2842318.0,2230.0,780986
102,Europe,Albania,2021-07-21,2842318.0,13029.0,794015
103,Europe,Albania,2021-07-22,2842318.0,14332.0,808347
104,Europe,Albania,2021-07-30,2842318.0,11078.0,819425
105,Europe,Albania,2021-07-31,2842318.0,8086.0,827511
106,Europe,Albania,2021-08-01,2842318.0,4154.0,831665
107,Europe,Albania,2021-08-02,2842318.0,9674.0,841339
108,Europe,Albania,2021-08-03,2842318.0,8879.0,850218
109,Europe,Albania,2021-08-04,2842318.0,7765.0,857983
110,Europe,Albania,2021-08-05,2842318.0,8631.0,866614
111,Europe,Albania,2021-08-16,2842318.0,9556.0,876170
112,Europe,Albania,2021-08-17,2842318.0,9585.0,885755
113,Europe,Albania,2021-08-22,2842318.0,3414.0,889169
114,Europe,Albania,2021-08-23,2842318.0,9950.0,899119
115,Europe,Albania,2021-08-24,2842318.0,9677.0,908796
116,Europe,Albania,2021-08-25,2842318.0,9263.0,918059
117,Europe,Albania,2021-08-26,2842318.0,10254.0,928313
118,Europe,Albania,2021-08-27,2842318.0,12070.0,940383
119,Europe,Albania,2021-08-30,2842318.0,13284.0,953667
120,Europe,Albania,2021-08-31,2842318.0,14268.0,967935
121,Europe,Albania,2021-09-01,2842318.0,12934.0,980869
122,Europe,Albania,2021-09-02,2842318.0,14648.0,995517
123,Europe,Albania,2021-09-07,2842318.0,14394.0,1009911
124,Europe,Albania,2021-09-08,2842318.0,13687.0,1023598
125,Europe,Albania,2021-09-09,2842318.0,12089.0,1035687
126,Europe,Albania,2021-09-10,2842318.0,10173.0,1045860
127,Europe,Albania,2021-09-11,2842318.0,8621.0,1054481
128,Europe,Albania,2021-09-12,2842318.0,3356.0,1057837
129,Europe,Albania,2021-09-13,2842318.0,8605.0,1066442
130,Europe,Albania,2021-09-14,2842318.0,7954.0,1074396
131,Europe,Albania,2021-09-15,2842318.0,7525.0,1081921
132,Europe,Albania,2021-09-16,2842318.0,7350.0,1089271
133,Europe,Albania,2021-09-17,2842318.0,7253.0,1096524
134,Europe,Albania,2021-09-20,2842318.0,7711.0,1104235
135,Europe,Albania,2021-09-21,2842318.0,7995.0,1112230
136,Europe,Albania,2021-09-22,2842318.0,8503.0,1120733
137,Europe,Albania,2021-09-23,2842318.0,9551.0,1130284
138,Europe,Albania,2021-09-24,2842318.0,9911.0,1140195
139,Europe,Albania,2021-09-28,2842318.0,8863.0,1149058
